Layers,Nodes,Gpu_Time
12,530,0.031416
13,530,0.034232
14,530,0.036719
15,530,0.039419
16,530,0.041139
2,540,0.003933
3,540,0.006639
4,540,0.009378
5,540,0.012057
6,540,0.014409
7,540,0.017059
8,540,0.019707
9,540,0.022414
10,540,0.024984
11,540,0.027653
12,540,0.028936
13,540,0.031422
14,540,0.033978
15,540,0.036572
16,540,0.039117
2,550,0.003726
3,550,0.006310
4,550,0.007970
5,550,0.010288
6,550,0.012588
7,550,0.014887
8,550,0.017228
9,550,0.019491
10,550,0.021818
11,550,0.024159
12,550,0.026464
13,550,0.028768
14,550,0.031050
15,550,0.033497
16,550,0.035675
2,560,0.003447
3,560,0.005834
4,560,0.008195
5,560,0.010572
6,560,0.012943
7,560,0.015022
8,560,0.017386
9,560,0.019674
10,560,0.021999
11,560,0.024337
12,560,0.026708
13,560,0.028968
14,560,0.031315
15,560,0.033641
16,560,0.035966
2,570,0.003614
3,570,0.006111
4,570,0.008731
5,570,0.011133
6,570,0.013582
7,570,0.016126
8,570,0.018609
9,570,0.021095
10,570,0.023536
11,570,0.026041
12,570,0.028526
13,570,0.031079
14,570,0.035610
15,570,0.041934
16,570,0.045977
2,580,0.004352
3,580,0.007381
4,580,0.010402
5,580,0.013548
6,580,0.016479
7,580,0.019647
8,580,0.022758
9,580,0.026167
10,580,0.029271
11,580,0.032364
12,580,0.035505
13,580,0.038607
14,580,0.042745
15,580,0.045814
16,580,0.047833
2,590,0.004590
3,590,0.007707
4,590,0.010861
5,590,0.014016
6,590,0.017148
7,590,0.020363
8,590,0.023458
9,590,0.026613
10,590,0.029777
11,590,0.032915
12,590,0.036076
13,590,0.039317
14,590,0.042401
15,590,0.071406
16,590,0.061526
2,600,0.008407
3,600,0.011612
4,600,0.011423
5,600,0.014736
6,600,0.018086
7,600,0.021382
8,600,0.024706
9,600,0.028047
10,600,0.031508
11,600,0.088074
12,600,0.061308
13,600,0.041377
14,600,0.044657
15,600,0.048005
16,600,0.051275
2,610,0.005063
3,610,0.008555
4,610,0.012160
5,610,0.015023
6,610,0.015888
7,610,0.018815
8,610,0.021776
9,610,0.024666
10,610,0.027599
11,610,0.030551
12,610,0.033481
13,610,0.036335
14,610,0.039266
15,610,0.042190
16,610,0.045027
2,620,0.004181
3,620,0.007093
4,620,0.010000
5,620,0.012912
6,620,0.015811
7,620,0.018795
8,620,0.021706
9,620,0.024551
10,620,0.027469
11,620,0.030416
12,620,0.033309
13,620,0.036252
14,620,0.039112
15,620,0.042046
16,620,0.044984
2,630,0.004245
3,630,0.007300
4,630,0.010179
5,630,0.013123
6,630,0.016094
7,630,0.019041
8,630,0.021986
9,630,0.025160
10,630,0.029894
11,630,0.033915
12,630,0.037819
13,630,0.041020
14,630,0.046544
15,630,0.050205
16,630,0.049119
2,640,0.004628
3,640,0.007874
4,640,0.011218
5,640,0.014346
6,640,0.017607
7,640,0.020833
8,640,0.024098
9,640,0.027314
10,640,0.030589
11,640,0.033810
12,640,0.037029
13,640,0.040264
14,640,0.043515
15,640,0.046761
16,640,0.050038
2,650,0.005139
3,650,0.008716
4,650,0.012280
5,650,0.015864
6,650,0.015433
7,650,0.018255
8,650,0.021091
9,650,0.023905
10,650,0.026888
11,650,0.029588
12,650,0.032432
13,650,0.035352
14,650,0.038171
15,650,0.041001
16,650,0.043781
2,660,0.004145
3,660,0.007027
4,660,0.009926
5,660,0.012793
6,660,0.015688
7,660,0.018651
8,660,0.021440
9,660,0.024314
10,660,0.030486
11,660,0.033698
12,660,0.037467
13,660,0.041584
14,660,0.046946
15,660,0.051388
16,660,0.056011
2,670,0.005346
3,670,0.009018
4,670,0.012722
5,670,0.016404
6,670,0.015410
7,670,0.018229
8,670,0.021085
9,670,0.023872
10,670,0.026745
11,670,0.029534
12,670,0.032352
13,670,0.035191
14,670,0.038017
15,670,0.040967
16,670,0.043755
2,680,0.004190
3,680,0.007069
4,680,0.010223
5,680,0.012913
6,680,0.015798
7,680,0.018635
8,680,0.021542
9,680,0.029486
10,680,0.032787
11,680,0.036416
12,680,0.042643
13,680,0.046088
14,680,0.049681
15,680,0.053481
16,680,0.058553
2,690,0.005743
3,690,0.009797
4,690,0.014077
5,690,0.017657
6,690,0.022895
7,690,0.026628
8,690,0.031189
9,690,0.035669
10,690,0.040570
11,690,0.045042
12,690,0.049342
13,690,0.053582
14,690,0.059446
15,690,0.065587
16,690,0.069841
2,700,0.006622
3,700,0.011290
4,700,0.015973
5,700,0.020242
6,700,0.025194
7,700,0.029772
8,700,0.034810
9,700,0.039859
10,700,0.044485
11,700,0.049369
12,700,0.052829
13,700,0.052266
14,700,0.056624
15,700,0.060978
16,700,0.065382
